idx,lb,ub,approach,method,dtime,n,apval_err
62,-1.2397223026610353,1.4994712298023805,root_scalar,newton,1.894637107849121,70,7.674742091845488e-11
63,-3.306957004104519,9.94192692696223,root_scalar,newton,1.894637107849121,70,2.983724378680108e-16
64,-3.4581914595239094,32.5958170548742,root_scalar,newton,1.894637107849121,70,7.901318488379161e-14
65,-2.044973559396965,3.274738351183393,root_scalar,newton,1.894637107849121,70,3.834987882811447e-12
66,-2.0200826599627217,45.084430018458384,root_scalar,newton,1.894637107849121,70,3.1507088604776357e-13
67,0.9628804589724022,54.70256977105846,root_scalar,newton,1.894637107849121,70,8.994020805896952e-13
68,-2.528683410757772,46.819550685322895,root_scalar,newton,1.894637107849121,70,1.003985089509385e-12
69,-5.062494057042194,5.304957563117288,root_scalar,newton,1.894637107849121,70,1.1410976330505918e-12
0,1.600284252089377,40.965698589967126,minimize_scalar,Brent,3.35548996925354,70,8.661612677096642e-09
1,-3.5967490172507084,2.3389418839552585,minimize_scalar,Brent,3.35548996925354,70,1.1419304071780267e-08
2,-32.067344953446835,2.6909730683003024,minimize_scalar,Brent,3.35548996925354,70,6.3440797302971585e-09
3,-18.756824973292307,6.648050373352241,minimize_scalar,Brent,3.35548996925354,70,8.266691445962815e-09
4,-8.331605014572688,4.7045625605272745,minimize_scalar,Brent,3.35548996925354,70,1.291540670939062e-08
5,-5.644665499188426,0.7756411094814869,minimize_scalar,Brent,3.35548996925354,70,2.0136013044458334e-08
6,0.46575463061818,18.067407492758704,minimize_scalar,Brent,3.35548996925354,70,9.247189028394054e-09
7,-3.4557582786415377,18.7895059308116,minimize_scalar,Brent,3.35548996925354,70,1.4196187347187417e-08
8,-3.646043151087011,6.092424232809317,minimize_scalar,Brent,3.35548996925354,70,7.637474458421778e-09
9,-24.289359578745817,5.171628348382386,minimize_scalar,Brent,3.35548996925354,70,1.7634629794621715e-08
10,-2.8384328628543827,3.588047037464018,minimize_scalar,Brent,3.35548996925354,70,1.8826555637369013e-08
11,-3.452189509053285,4.204882505604688,minimize_scalar,Brent,3.35548996925354,70,1.2583065950311223e-08
12,-8.962508278890537,4.412393142121403,minimize_scalar,Brent,3.35548996925354,70,8.632276414510809e-09
13,-4.970145171946378,7.460029502545436,minimize_scalar,Brent,3.35548996925354,70,1.3130899638447158e-08
14,-3.1542469030717535,6.300971514544302,minimize_scalar,Brent,3.35548996925354,70,1.2424615693923391e-08
15,-4.925558175198943,4.289775595083731,minimize_scalar,Brent,3.35548996925354,70,1.3687631122277777e-08
16,-3.632193059447955,1.9367870999639323,minimize_scalar,Brent,3.35548996925354,70,8.420462469654888e-09
17,-4.53795300560751,6.673743890098867,minimize_scalar,Brent,3.35548996925354,70,1.824376237233305e-08
18,-4.698839320976673,4.477874851208033,minimize_scalar,Brent,3.35548996925354,70,1.066810374414362e-08
19,-11.227588371243112,11.986623787036377,minimize_scalar,Brent,3.35548996925354,70,1.7800497235931356e-08
20,-23.772757589708778,7.90969573760183,minimize_scalar,Brent,3.35548996925354,70,6.8097024824576025e-09
21,-12.33399316612027,2.188684748722136,minimize_scalar,Brent,3.35548996925354,70,5.491574125993104e-09
22,-3.246563546851416,3.047933165785282,minimize_scalar,Brent,3.35548996925354,70,1.162740756108227e-08
23,-10.4455894487602,1.1418414436348743,minimize_scalar,Brent,3.35548996925354,70,1.2010253215566369e-08
24,1.4561237796103947,92.1889755428817,minimize_scalar,Brent,3.35548996925354,70,1.276938438321551e-08
25,-23.539506301002604,1.8357218817069545,minimize_scalar,Brent,3.35548996925354,70,1.3676174154958476e-08
26,-2.4658219182917525,3.9000361963329726,minimize_scalar,Brent,3.35548996925354,70,1.0051661405996448e-08
27,-2.813974165279717,5.358087807417482,minimize_scalar,Brent,3.35548996925354,70,1.3103789858748272e-08
28,-6.354507029751487,3.7559092557379676,minimize_scalar,Brent,3.35548996925354,70,9.9579233366065e-09
29,-5.8176630377351675,12.161822584341591,minimize_scalar,Brent,3.35548996925354,70,1.5297439995287654e-08
30,-15.801244072637152,0.7941226358769939,minimize_scalar,Brent,3.35548996925354,70,1.2887988017074026e-08
31,-17.942068934018938,10.73954365892795,minimize_scalar,Brent,3.35548996925354,70,9.056585557887242e-09
32,-29.459898549548228,5.028572152041979,minimize_scalar,Brent,3.35548996925354,70,1.3394867492966256e-08
33,-25.175163142336782,3.370758545817132,minimize_scalar,Brent,3.35548996925354,70,7.633405314094732e-09
34,-4.298347080880066,1.390737820553861,minimize_scalar,Brent,3.35548996925354,70,1.4110441658859996e-08
35,-9.533271948493242,3.1872170201821066,minimize_scalar,Brent,3.35548996925354,70,1.425953025102622e-08
36,-3.4213809093398204,13.91674058237335,minimize_scalar,Brent,3.35548996925354,70,7.55630775312044e-09
37,-0.26579671364706503,3.597066720084254,minimize_scalar,Brent,3.35548996925354,70,6.819135017072098e-09
38,-3.761430544321139,3.536474598524085,minimize_scalar,Brent,3.35548996925354,70,1.8644764957637117e-08
39,-13.397399769500694,2.196796334337549,minimize_scalar,Brent,3.35548996925354,70,1.1469534769853462e-08
40,-2.205930217918461,0.434962551635667,minimize_scalar,Brent,3.35548996925354,70,1.5119702680838065e-08
41,-10.301555688664198,4.147423636909403,minimize_scalar,Brent,3.35548996925354,70,7.970815795593778e-09
42,-7.0631189137402295,10.535030955774731,minimize_scalar,Brent,3.35548996925354,70,1.358629998435279e-08
43,-4.318804508526227,2.7814156215682746,minimize_scalar,Brent,3.35548996925354,70,1.1796655374762821e-08
44,-14.12729810382776,3.413881801477991,minimize_scalar,Brent,3.35548996925354,70,1.3351535863015407e-08
45,-1.4101585498169895,1.24279925943293,minimize_scalar,Brent,3.35548996925354,70,1.36486624467691e-08
46,-7.5148749857035995,3.4205558716445936,minimize_scalar,Brent,3.35548996925354,70,6.387617879077823e-09
47,1.1369834578383238,4.73580453185827,minimize_scalar,Brent,3.35548996925354,70,1.5871488453361726e-08
48,-29.878049242902808,6.8903103775385155,minimize_scalar,Brent,3.35548996925354,70,1.1058190849122518e-08
49,-27.553446760083705,2.661520501028986,minimize_scalar,Brent,3.35548996925354,70,6.599158299674945e-09
50,-6.6653476787577635,4.102956760091358,minimize_scalar,Brent,3.35548996925354,70,1.1293555941122024e-08
51,-6.116715618464762,1.886117392262381,minimize_scalar,Brent,3.35548996925354,70,1.7788641643035064e-08
52,-92.18858834341948,6.0950233643434135,minimize_scalar,Brent,3.35548996925354,70,8.796399945248945e-09
53,-22.322274901696098,30.850149675261303,minimize_scalar,Brent,3.35548996925354,70,1.3119142789480565e-08
54,-4.226648074026683,1.4185324250448434,minimize_scalar,Brent,3.35548996925354,70,1.353103137521905e-08
55,-8.781592701587737,22.41172114287993,minimize_scalar,Brent,3.35548996925354,70,1.6881506741117658e-08
56,-69.87754348565716,9.214813037905373,minimize_scalar,Brent,3.35548996925354,70,1.1824641359819976e-08
57,-2.3358576102144513,9.648539921153327,minimize_scalar,Brent,3.35548996925354,70,1.368627667794331e-08
58,-11.667062174563204,1.6440857709226118,minimize_scalar,Brent,3.35548996925354,70,1.0358875486560226e-08
59,-8.978104662933406,9.442008080199342,minimize_scalar,Brent,3.35548996925354,70,1.4716328752828467e-08
60,-2.975547159388369,3.6822107602420155,minimize_scalar,Brent,3.35548996925354,70,5.229945344853437e-09
61,-58.55881283263512,1.1652801262080918,minimize_scalar,Brent,3.35548996925354,70,1.1408092453341068e-08
62,-1.2397224430008542,1.499471150505521,minimize_scalar,Brent,3.35548996925354,70,1.5267555376202724e-08
63,-3.306956337714929,9.941927380984506,minimize_scalar,Brent,3.35548996925354,70,1.544047981832941e-08
64,-3.4581918153942466,32.59581585309267,minimize_scalar,Brent,3.35548996925354,70,8.524838373408228e-09
65,-2.04497338167262,3.2747387627753874,minimize_scalar,Brent,3.35548996925354,70,1.9930405988771716e-08
66,-2.020082627247482,45.08443070678206,minimize_scalar,Brent,3.35548996925354,70,1.982698841912489e-09
67,0.9628805191595932,54.70256823427982,minimize_scalar,Brent,3.35548996925354,70,4.985425180320524e-09
68,-2.5286827624604675,46.81954818066794,minimize_scalar,Brent,3.35548996925354,70,1.3909853959631624e-08
69,-5.062494889637557,114.45084553147201,minimize_scalar,Brent,3.35548996925354,70,0.025000010167033772
0,1.6002839639971456,40.96569250961537,minimize_scalar,Golden,5.645075798034668,70,1.9832252014240215e-08
1,-3.5967486514307225,2.3389418831914446,minimize_scalar,Golden,5.645075798034668,70,1.9750627893583284e-08
2,-32.067342687525176,2.6909727658816793,minimize_scalar,Golden,5.645075798034668,70,1.997581319454489e-08
3,-18.756823838030243,6.648049926970308,minimize_scalar,Golden,5.645075798034668,70,1.937705170623749e-08
4,-8.331602987977275,4.704562289504399,minimize_scalar,Golden,5.645075798034668,70,1.956049694787354e-08
5,-5.644665537629569,0.7756409398399897,minimize_scalar,Golden,5.645075798034668,70,1.9201612067726304e-08
6,0.4657548909579821,18.06740429375882,minimize_scalar,Golden,5.645075798034668,70,1.965805266831988e-08
7,-3.4557581201645835,18.789503146321575,minimize_scalar,Golden,5.645075798034668,70,1.980566982293097e-08
8,-3.646042321260725,6.09242365483248,minimize_scalar,Golden,5.645075798034668,70,1.8641729954832487e-08
9,-24.28935444352644,5.171627024277766,minimize_scalar,Golden,5.645075798034668,70,2.0726746638444205e-08
10,-2.838432163729904,3.5880464025509715,minimize_scalar,Golden,5.645075798034668,70,1.9349143343116992e-08
11,-3.4521893692895165,4.2048824153903865,minimize_scalar,Golden,5.645075798034668,70,1.9149512097554888e-08
12,-8.962506812041202,4.412393007036298,minimize_scalar,Golden,5.645075798034668,70,1.9232243433225937e-08
13,-4.970143772101248,7.460029410967751,minimize_scalar,Golden,5.645075798034668,70,1.8869219155920325e-08
14,-3.154246062384331,6.3009712727860165,minimize_scalar,Golden,5.645075798034668,70,2.0301023966051712e-08
15,-4.925557238145013,4.2897748676909035,minimize_scalar,Golden,5.645075798034668,70,1.9433760295450853e-08
16,-3.6321924753730013,1.9367869999696923,minimize_scalar,Golden,5.645075798034668,70,1.963021890871719e-08
17,-4.537952865871491,6.673742632151142,minimize_scalar,Golden,5.645075798034668,70,1.952269719496247e-08
18,-4.6988382072060135,4.477874588621768,minimize_scalar,Golden,5.645075798034668,70,1.9441481136778238e-08
19,-11.227586053745751,11.986621377900097,minimize_scalar,Golden,5.645075798034668,70,1.8831206236719078e-08
20,-23.772753588978468,7.90969452617414,minimize_scalar,Golden,5.645075798034668,70,2.011509650512444e-08
21,-12.333991426776098,2.188684284778378,minimize_scalar,Golden,5.645075798034668,70,2.0173107184717765e-08
22,-3.246562979063456,3.0479327273668395,minimize_scalar,Golden,5.645075798034668,70,1.911571465354478e-08
23,-10.445589282403194,1.1418413224346793,minimize_scalar,Golden,5.645075798034668,70,1.9840735124287967e-08
24,1.4561226120854927,92.18896201877075,minimize_scalar,Golden,5.645075798034668,70,1.9782098906878653e-08
25,-23.539501372240046,1.8357213588486274,minimize_scalar,Golden,5.645075798034668,70,1.983772911912096e-08
