samp,x1,x2,cdf,idx,shape,approach,dtime,pval
19,0.79686997619726,0.42166729217984783,0.4054867,"(905,)","(1000,)",drezner1,0.22068572044372559,0.40525167984383414
19,0.79686997619726,0.42166729217984783,0.4054867,"(905,)","(1000,)",drezner2,0.21776294708251953,0.40525167984383414
20,-1.460918400718335,-2.3599203417355863,0.1325527,"(907,)","(1000,)",scipy,0.2586941719055176,0.13241908725268783
20,-1.460918400718335,-2.3599203417355863,0.1325527,"(907,)","(1000,)",cox1,0.48697996139526367,0.13242282600763933
20,-1.460918400718335,-2.3599203417355863,0.1325527,"(907,)","(1000,)",cox2,0.006596803665161133,0.13696352685999658
20,-1.460918400718335,-2.3599203417355863,0.1325527,"(907,)","(1000,)",owen,0.0007801055908203125,0.1324190872526878
20,-1.460918400718335,-2.3599203417355863,0.1325527,"(907,)","(1000,)",drezner1,0.22068572044372559,0.13242199377790376
20,-1.460918400718335,-2.3599203417355863,0.1325527,"(907,)","(1000,)",drezner2,0.21776294708251953,0.13241903741712469
21,1.1128429900312136,0.08536800167623693,0.207323,"(908,)","(1000,)",scipy,0.2586941719055176,0.20739889252377017
21,1.1128429900312136,0.08536800167623693,0.207323,"(908,)","(1000,)",cox1,0.48697996139526367,0.20887199643076404
21,1.1128429900312136,0.08536800167623693,0.207323,"(908,)","(1000,)",cox2,0.006596803665161133,0.20670558585129406
21,1.1128429900312136,0.08536800167623693,0.207323,"(908,)","(1000,)",owen,0.0007801055908203125,0.20739889252377006
21,1.1128429900312136,0.08536800167623693,0.207323,"(908,)","(1000,)",drezner1,0.22068572044372559,0.20739889253840238
21,1.1128429900312136,0.08536800167623693,0.207323,"(908,)","(1000,)",drezner2,0.21776294708251953,0.20739889252308596
22,0.2896969931860251,-0.7664647305994641,0.1433809,"(914,)","(1000,)",scipy,0.2586941719055176,0.1435604401017457
22,0.2896969931860251,-0.7664647305994641,0.1433809,"(914,)","(1000,)",cox1,0.48697996139526367,0.14658675328018878
22,0.2896969931860251,-0.7664647305994641,0.1433809,"(914,)","(1000,)",cox2,0.006596803665161133,0.14163285189307817
22,0.2896969931860251,-0.7664647305994641,0.1433809,"(914,)","(1000,)",owen,0.0007801055908203125,0.14356044010174568
22,0.2896969931860251,-0.7664647305994641,0.1433809,"(914,)","(1000,)",drezner1,0.22068572044372559,0.1435604401530448
22,0.2896969931860251,-0.7664647305994641,0.1433809,"(914,)","(1000,)",drezner2,0.21776294708251953,0.14356044010156155
23,-0.8842183890916198,1.960705381405044,0.2596883,"(960,)","(1000,)",scipy,0.2586941719055176,0.25975972829232835
23,-0.8842183890916198,1.960705381405044,0.2596883,"(960,)","(1000,)",cox1,0.48697996139526367,0.2598200267712746
23,-0.8842183890916198,1.960705381405044,0.2596883,"(960,)","(1000,)",cox2,0.006596803665161133,0.25975985290593784
23,-0.8842183890916198,1.960705381405044,0.2596883,"(960,)","(1000,)",owen,0.0007801055908203125,0.25975972829232824
23,-0.8842183890916198,1.960705381405044,0.2596883,"(960,)","(1000,)",drezner1,0.22068572044372559,0.2597597282923282
23,-0.8842183890916198,1.960705381405044,0.2596883,"(960,)","(1000,)",drezner2,0.21776294708251953,0.2597597282923282
24,-0.48048431628667143,-1.4881355519470265,0.1432488,"(972,)","(1000,)",scipy,0.2586941719055176,0.1432496692612808
24,-0.48048431628667143,-1.4881355519470265,0.1432488,"(972,)","(1000,)",cox1,0.48697996139526367,0.1435425996183306
24,-0.48048431628667143,-1.4881355519470265,0.1432488,"(972,)","(1000,)",cox2,0.006596803665161133,0.14326623793104143
24,-0.48048431628667143,-1.4881355519470265,0.1432488,"(972,)","(1000,)",owen,0.0007801055908203125,0.14324966926128077
24,-0.48048431628667143,-1.4881355519470265,0.1432488,"(972,)","(1000,)",drezner1,0.22068572044372559,0.14324966926128102
24,-0.48048431628667143,-1.4881355519470265,0.1432488,"(972,)","(1000,)",drezner2,0.21776294708251953,0.1432496692612807
0,1.519967236072949,1.3410744907759948,0.5436336,"(64, 1)","(1000, 2)",scipy,0.44460391998291016,0.5436020759136614
0,1.519967236072949,1.3410744907759948,0.5436336,"(64, 1)","(1000, 2)",cox1,0.7977330684661865,0.5424107211744642
0,1.519967236072949,1.3410744907759948,0.5436336,"(64, 1)","(1000, 2)",cox2,0.006946086883544922,0.5272004975196346
0,1.519967236072949,1.3410744907759948,0.5436336,"(64, 1)","(1000, 2)",owen,0.0011630058288574219,0.5436020759136616
0,1.519967236072949,1.3410744907759948,0.5436336,"(64, 1)","(1000, 2)",drezner1,0.413485050201416,0.5436007485467134
0,1.519967236072949,1.3410744907759948,0.5436336,"(64, 1)","(1000, 2)",drezner2,0.40061402320861816,0.543603042985971
1,-0.8879466666385123,-1.7652138843198197,0.1029202,"(72, 0)","(1000, 2)",scipy,0.44460391998291016,0.10279327027533196
1,-0.8879466666385123,-1.7652138843198197,0.1029202,"(72, 0)","(1000, 2)",cox1,0.7977330684661865,0.10321195286769697
1,-0.8879466666385123,-1.7652138843198197,0.1029202,"(72, 0)","(1000, 2)",cox2,0.006946086883544922,0.11006521080117976
1,-0.8879466666385123,-1.7652138843198197,0.1029202,"(72, 0)","(1000, 2)",owen,0.0011630058288574219,0.10279327027533192
1,-0.8879466666385123,-1.7652138843198197,0.1029202,"(72, 0)","(1000, 2)",drezner1,0.413485050201416,0.10278754136198481
1,-0.8879466666385123,-1.7652138843198197,0.1029202,"(72, 0)","(1000, 2)",drezner2,0.40061402320861816,0.10279332086244969
2,0.11829945903707784,2.3456824366415225,0.3829868,"(117, 1)","(1000, 2)",scipy,0.44460391998291016,0.3828149461341888
2,0.11829945903707784,2.3456824366415225,0.3829868,"(117, 1)","(1000, 2)",cox1,0.7977330684661865,0.3826978556728905
2,0.11829945903707784,2.3456824366415225,0.3829868,"(117, 1)","(1000, 2)",cox2,0.006946086883544922,0.3828264228434818
2,0.11829945903707784,2.3456824366415225,0.3829868,"(117, 1)","(1000, 2)",owen,0.0011630058288574219,0.382814946134189
2,0.11829945903707784,2.3456824366415225,0.3829868,"(117, 1)","(1000, 2)",drezner1,0.413485050201416,0.382814946134189
2,0.11829945903707784,2.3456824366415225,0.3829868,"(117, 1)","(1000, 2)",drezner2,0.40061402320861816,0.382814946134189
3,0.17754395936905987,-0.12858262531881715,0.6087919,"(178, 1)","(1000, 2)",scipy,0.44460391998291016,0.6087865119745448
3,0.17754395936905987,-0.12858262531881715,0.6087919,"(178, 1)","(1000, 2)",cox1,0.7977330684661865,0.6092479092161394
3,0.17754395936905987,-0.12858262531881715,0.6087919,"(178, 1)","(1000, 2)",cox2,0.006946086883544922,0.608379568963624
3,0.17754395936905987,-0.12858262531881715,0.6087919,"(178, 1)","(1000, 2)",owen,0.0011630058288574219,0.6087865119745448
3,0.17754395936905987,-0.12858262531881715,0.6087919,"(178, 1)","(1000, 2)",drezner1,0.413485050201416,0.6088911831589171
3,0.17754395936905987,-0.12858262531881715,0.6087919,"(178, 1)","(1000, 2)",drezner2,0.40061402320861816,0.6087832341461135
4,2.1645424069687342,-1.8881231602043704,0.4351685,"(234, 0)","(1000, 2)",scipy,0.44460391998291016,0.43531954044529625
4,2.1645424069687342,-1.8881231602043704,0.4351685,"(234, 0)","(1000, 2)",cox1,0.7977330684661865,0.43552792248443584
4,2.1645424069687342,-1.8881231602043704,0.4351685,"(234, 0)","(1000, 2)",cox2,0.006946086883544922,0.433529669894016
4,2.1645424069687342,-1.8881231602043704,0.4351685,"(234, 0)","(1000, 2)",owen,0.0011630058288574219,0.4353195404452963
4,2.1645424069687342,-1.8881231602043704,0.4351685,"(234, 0)","(1000, 2)",drezner1,0.413485050201416,0.435319540253571
4,2.1645424069687342,-1.8881231602043704,0.4351685,"(234, 0)","(1000, 2)",drezner2,0.40061402320861816,0.4353195405239618
5,0.32094890466940174,-0.6956865498805251,0.0495249,"(254, 0)","(1000, 2)",scipy,0.44460391998291016,0.04952295765481081
5,0.32094890466940174,-0.6956865498805251,0.0495249,"(254, 0)","(1000, 2)",cox1,0.7977330684661865,0.049505373908902944
5,0.32094890466940174,-0.6956865498805251,0.0495249,"(254, 0)","(1000, 2)",cox2,0.006946086883544922,0.04952729172945078
5,0.32094890466940174,-0.6956865498805251,0.0495249,"(254, 0)","(1000, 2)",owen,0.0011630058288574219,0.04952295765481082
